Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');498.0;0.266;1.146;0.012;113.703;0.942
('ORB', 'NORM_HAMMING2');498.0;0.403;1.146;0.012;104.105;0.922
('ORB', 'NORM_L2SQR');498.0;0.422;1.146;0.012;113.703;0.942
('ORB', 'FLANN_LSH');498.0;0.441;1.146;0.012;104.801;0.921
('FAST+ORB', 'BF_L2');2478.0;0.191;1.863;0.005;236.651;0.933
('FAST+ORB', 'NORM_HAMMING2');2478.0;0.272;1.863;0.005;226.482;0.903
('FAST+ORB', 'NORM_L2SQR');2478.0;0.332;1.863;0.005;236.651;0.933
('FAST+ORB', 'FLANN_LSH');2478.0;0.299;1.863;0.005;227.86;0.902
('FAST+BRISK', 'BF_L2');2860.0;0.214;1.863;0.035;237.816;0.882
('FAST+BRISK', 'NORM_HAMMING2');2860.0;0.264;1.863;0.035;234.669;0.859
('FAST+BRISK', 'NORM_L2SQR');2860.0;0.31;1.863;0.035;237.816;0.882
('FAST+BRISK', 'FLANN_LSH');2860.0;0.289;1.863;0.035;235.872;0.86
('KAZE', 'BF_L2');446.0;0.516;1.201;0.499;109.046;0.949
('KAZE', 'NORM_L2SQR');446.0;0.652;1.201;0.507;109.046;0.949
('KAZE', 'FLANN_KDTree');446.0;0.526;1.201;0.505;109.297;0.948
('KAZE', 'FLANN_KMeans');446.0;0.516;1.201;0.506;109.046;0.949
('AKAZE', 'BF_L2');291.0;0.362;1.334;0.089;118.692;0.919
('AKAZE', 'NORM_HAMMING2');291.0;0.452;1.334;0.089;115.545;0.907
('AKAZE', 'NORM_L2SQR');291.0;0.5;1.334;0.089;118.692;0.919
('AKAZE', 'FLANN_LSH');291.0;0.496;1.334;0.088;116.082;0.906
('GFTT+ORB', 'BF_L2');844.0;0.258;1.099;0.014;204.38;0.941
('GFTT+ORB', 'NORM_HAMMING2');844.0;0.363;1.099;0.013;202.097;0.919
('GFTT+ORB', 'NORM_L2SQR');844.0;0.411;1.099;0.013;204.38;0.941
('GFTT+ORB', 'FLANN_LSH');844.0;0.395;1.099;0.013;202.204;0.918
('GFTT+BRISK', 'BF_L2');941.0;0.287;1.099;0.024;213.72;0.885
('GFTT+BRISK', 'NORM_HAMMING2');941.0;0.347;1.099;0.024;211.63;0.866
('GFTT+BRISK', 'NORM_L2SQR');941.0;0.397;1.099;0.024;213.72;0.885
('GFTT+BRISK', 'FLANN_LSH');941.0;0.379;1.099;0.024;212.337;0.865
('SIFT', 'BF_L2');587.0;0.449;2.359;0.165;158.224;0.886
('SIFT', 'NORM_L2SQR');587.0;0.554;2.359;0.151;158.224;0.886
('SIFT', 'FLANN_KDTree');587.0;0.453;2.359;0.154;159.157;0.884
('SIFT', 'FLANN_KMeans');587.0;0.449;2.359;0.153;158.224;0.886
