Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');225.0;0.004;0.45;0.098;335.413;0.888
('ORB', 'NORM_HAMMING2');225.0;0.013;0.45;0.073;417.907;0.844
('ORB', 'NORM_L2SQR');225.0;0.098;0.45;0.073;335.413;0.888
('ORB', 'FLANN_LSH');225.0;0.013;0.45;0.08;429.693;0.841
('FAST+ORB', 'BF_L2');169.0;0.03;0.005;0.082;434.503;0.893
('FAST+ORB', 'NORM_HAMMING2');169.0;0.018;0.005;0.099;430.191;0.806
('FAST+ORB', 'NORM_L2SQR');169.0;0.118;0.005;0.065;434.503;0.893
('FAST+ORB', 'FLANN_LSH');169.0;0.024;0.005;0.065;412.218;0.811
('FAST+BRISK', 'BF_L2');182.0;0.005;0.005;0.387;610.886;0.893
('FAST+BRISK', 'NORM_HAMMING2');182.0;0.0;0.005;0.413;501.337;0.846
('FAST+BRISK', 'NORM_L2SQR');182.0;0.099;0.005;1.358;610.886;0.893
('FAST+BRISK', 'FLANN_LSH');182.0;0.0;0.005;0.562;507.591;0.867
('KAZE', 'BF_L2');84.0;0.024;0.008;4.292;522.985;0.898
('KAZE', 'NORM_L2SQR');84.0;0.19;0.008;2.103;522.985;0.898
('KAZE', 'FLANN_KDTree');84.0;0.048;0.008;4.177;532.717;0.882
('KAZE', 'FLANN_KMeans');84.0;0.024;0.008;2.065;522.985;0.898
('AKAZE', 'BF_L2');57.0;0.0;0.006;0.411;460.218;0.895
('AKAZE', 'NORM_HAMMING2');57.0;0.0;0.006;0.49;481.599;0.864
('AKAZE', 'NORM_L2SQR');57.0;0.053;0.006;0.585;460.218;0.895
('AKAZE', 'FLANN_LSH');57.0;0.018;0.006;0.396;525.386;0.868
('GFTT+ORB', 'BF_L2');728.0;0.014;0.852;0.068;505.3;0.833
('GFTT+ORB', 'NORM_HAMMING2');728.0;0.012;0.852;0.218;523.475;0.729
('GFTT+ORB', 'NORM_L2SQR');728.0;0.058;0.852;0.056;505.3;0.833
('GFTT+ORB', 'FLANN_LSH');728.0;0.084;0.852;0.082;532.282;0.749
('GFTT+BRISK', 'BF_L2');794.0;0.063;0.852;0.062;631.888;0.855
('GFTT+BRISK', 'NORM_HAMMING2');794.0;0.0;0.852;0.062;640.487;0.805
('GFTT+BRISK', 'NORM_L2SQR');794.0;0.571;0.852;0.057;631.888;0.855
('GFTT+BRISK', 'FLANN_LSH');794.0;0.0;0.852;0.058;727.397;0.808
('SIFT', 'BF_L2');50.0;0.08;0.005;0.62;455.685;0.898
('SIFT', 'NORM_L2SQR');50.0;0.22;0.005;1.082;455.685;0.898
('SIFT', 'FLANN_KDTree');50.0;0.08;0.005;1.78;436.19;0.895
('SIFT', 'FLANN_KMeans');50.0;0.08;0.005;1.422;455.685;0.898
