Комбинация дескриптор + алгоритм сопоставления;Количество найденных точек
ORB_BF_L2,225
ORB_NORM_HAMMING2,225
ORB_NORM_L2SQR,225
ORB_FLANN_LSH,225
FAST+ORB_BF_L2,169
FAST+ORB_NORM_HAMMING2,169
FAST+ORB_NORM_L2SQR,169
FAST+ORB_FLANN_LSH,169
FAST+BRISK_BF_L2,182
FAST+BRISK_NORM_HAMMING2,182
FAST+BRISK_NORM_L2SQR,182
FAST+BRISK_FLANN_LSH,182
KAZE_BF_L2,84
KAZE_NORM_L2SQR,84
KAZE_FLANN_KDTree,84
KAZE_FLANN_KMeans,84
AKAZE_BF_L2,57
AKAZE_NORM_HAMMING2,57
AKAZE_NORM_L2SQR,57
AKAZE_FLANN_LSH,57
GFTT+ORB_BF_L2,728
GFTT+ORB_NORM_HAMMING2,728
GFTT+ORB_NORM_L2SQR,728
GFTT+ORB_FLANN_LSH,728
GFTT+BRISK_BF_L2,794
GFTT+BRISK_NORM_HAMMING2,794
GFTT+BRISK_NORM_L2SQR,794
GFTT+BRISK_FLANN_LSH,794
SIFT_BF_L2,50
SIFT_NORM_L2SQR,50
SIFT_FLANN_KDTree,50
SIFT_FLANN_KMeans,50
