Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');359.0;0.303;1.737;0.007;91.184;0.94
('ORB', 'NORM_HAMMING2');359.0;0.44;1.737;0.007;82.276;0.922
('ORB', 'NORM_L2SQR');359.0;0.466;1.737;0.006;91.184;0.94
('ORB', 'FLANN_LSH');359.0;0.486;1.737;0.006;83.355;0.92
('FAST+ORB', 'BF_L2');675.0;0.27;2.097;0.002;142.904;0.939
('FAST+ORB', 'NORM_HAMMING2');675.0;0.367;2.097;0.002;140.387;0.918
('FAST+ORB', 'NORM_L2SQR');675.0;0.424;2.097;0.002;142.904;0.939
('FAST+ORB', 'FLANN_LSH');675.0;0.401;2.097;0.002;140.846;0.917
('FAST+BRISK', 'BF_L2');949.0;0.298;2.097;0.013;145.585;0.888
('FAST+BRISK', 'NORM_HAMMING2');949.0;0.346;2.097;0.013;145.035;0.871
('FAST+BRISK', 'NORM_L2SQR');949.0;0.414;2.097;0.012;145.585;0.888
('FAST+BRISK', 'FLANN_LSH');949.0;0.381;2.097;0.012;145.199;0.871
('KAZE', 'BF_L2');107.0;0.599;1.282;0.253;78.191;0.941
('KAZE', 'NORM_L2SQR');107.0;0.718;1.282;0.239;78.191;0.941
('KAZE', 'FLANN_KDTree');107.0;0.602;1.282;0.232;78.225;0.941
('KAZE', 'FLANN_KMeans');107.0;0.599;1.282;0.231;78.191;0.941
('AKAZE', 'BF_L2');33.0;0.467;1.31;0.035;80.875;0.898
('AKAZE', 'NORM_HAMMING2');33.0;0.566;1.31;0.035;81.498;0.889
('AKAZE', 'NORM_L2SQR');33.0;0.62;1.31;0.035;80.875;0.898
('AKAZE', 'FLANN_LSH');33.0;0.579;1.31;0.034;80.65;0.887
('GFTT+ORB', 'BF_L2');608.0;0.304;1.045;0.006;152.235;0.946
('GFTT+ORB', 'NORM_HAMMING2');608.0;0.418;1.045;0.006;152.465;0.927
('GFTT+ORB', 'NORM_L2SQR');608.0;0.454;1.045;0.006;152.235;0.946
('GFTT+ORB', 'FLANN_LSH');608.0;0.45;1.045;0.007;152.547;0.926
('GFTT+BRISK', 'BF_L2');848.0;0.347;1.045;0.018;152.95;0.896
('GFTT+BRISK', 'NORM_HAMMING2');848.0;0.407;1.045;0.017;153.385;0.88
('GFTT+BRISK', 'NORM_L2SQR');848.0;0.465;1.045;0.017;152.95;0.896
('GFTT+BRISK', 'FLANN_LSH');848.0;0.443;1.045;0.017;153.214;0.88
('SIFT', 'BF_L2');242.0;0.532;1.669;0.067;101.829;0.881
('SIFT', 'NORM_L2SQR');242.0;0.626;1.669;0.067;101.829;0.881
('SIFT', 'FLANN_KDTree');242.0;0.534;1.669;0.06;102.356;0.88
('SIFT', 'FLANN_KMeans');242.0;0.532;1.669;0.062;101.829;0.881
