Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');500.0;0.282;1.919;0.031;225.656;0.936
('ORB', 'NORM_HAMMING2');500.0;0.419;1.919;0.031;197.008;0.915
('ORB', 'NORM_L2SQR');500.0;0.431;1.919;0.031;225.656;0.936
('ORB', 'FLANN_LSH');500.0;0.467;1.919;0.031;203.098;0.912
('FAST+ORB', 'BF_L2');10328.0;0.219;1.6;0.022;329.761;0.949
('FAST+ORB', 'NORM_HAMMING2');10328.0;0.31;1.6;0.023;314.472;0.918
('FAST+ORB', 'NORM_L2SQR');10328.0;0.349;1.6;0.022;329.761;0.949
('FAST+ORB', 'FLANN_LSH');10328.0;0.33;1.6;0.022;314.699;0.918
('FAST+BRISK', 'BF_L2');11293.0;0.245;1.6;0.151;336.218;0.907
('FAST+BRISK', 'NORM_HAMMING2');11293.0;0.294;1.6;0.149;331.665;0.887
('FAST+BRISK', 'NORM_L2SQR');11293.0;0.336;1.6;0.148;336.218;0.907
('FAST+BRISK', 'FLANN_LSH');11293.0;0.316;1.6;0.15;332.208;0.889
('KAZE', 'BF_L2');2879.0;0.513;17.451;1.119;197.486;0.954
('KAZE', 'NORM_L2SQR');2879.0;0.621;17.451;1.092;197.486;0.954
('KAZE', 'FLANN_KDTree');2879.0;0.532;1.983;1.116;204.06;0.951
('KAZE', 'FLANN_KMeans');2879.0;0.516;1.983;1.1;196.577;0.955
('AKAZE', 'BF_L2');2235.0;0.342;2.862;0.204;227.882;0.908
('AKAZE', 'NORM_HAMMING2');2235.0;0.434;2.862;0.201;216.136;0.891
('AKAZE', 'NORM_L2SQR');2235.0;0.456;2.862;0.209;227.882;0.908
('AKAZE', 'FLANN_LSH');2235.0;0.464;2.862;0.201;219.223;0.89
('GFTT+ORB', 'BF_L2');924.0;0.292;1.0;0.029;327.56;0.936
('GFTT+ORB', 'NORM_HAMMING2');924.0;0.408;1.0;0.027;327.062;0.911
('GFTT+ORB', 'NORM_L2SQR');924.0;0.43;1.0;0.027;327.56;0.936
('GFTT+ORB', 'FLANN_LSH');924.0;0.439;1.0;0.027;327.144;0.91
('GFTT+BRISK', 'BF_L2');971.0;0.327;1.0;0.04;325.617;0.891
('GFTT+BRISK', 'NORM_HAMMING2');971.0;0.381;1.0;0.04;325.941;0.874
('GFTT+BRISK', 'NORM_L2SQR');971.0;0.433;1.0;0.039;325.617;0.891
('GFTT+BRISK', 'FLANN_LSH');971.0;0.414;1.0;0.039;325.91;0.874
('SIFT', 'BF_L2');4153.0;0.476;2.403;0.316;237.619;0.889
('SIFT', 'NORM_L2SQR');4153.0;0.546;2.403;0.316;237.619;0.889
('SIFT', 'FLANN_KDTree');4153.0;0.477;2.403;0.315;241.633;0.881
('SIFT', 'FLANN_KMeans');4153.0;0.476;2.403;0.313;237.619;0.889
