Комбинация дескриптор + алгоритм сопоставления;Количество найденных точек
change_brightness_-20_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_-20_FAST+BRISK_NORM_L2SQR,11293
change_brightness_-20_FAST+BRISK_FLANN_LSH,11293
change_brightness_-20_KAZE_BF_L2,2879
change_brightness_-20_KAZE_NORM_L2SQR,2879
change_brightness_-20_KAZE_FLANN_KDTree,2879
change_brightness_-20_KAZE_FLANN_KMeans,2879
change_brightness_-20_AKAZE_BF_L2,2235
change_brightness_-20_AKAZE_NORM_HAMMING2,2235
change_brightness_-20_AKAZE_NORM_L2SQR,2235
change_brightness_-20_AKAZE_FLANN_LSH,2235
change_brightness_-20_GFTT+ORB_BF_L2,924
change_brightness_-20_GFTT+ORB_NORM_HAMMING2,924
change_brightness_-20_GFTT+ORB_NORM_L2SQR,924
change_brightness_-20_GFTT+ORB_FLANN_LSH,924
change_brightness_-20_GFTT+BRISK_BF_L2,971
change_brightness_-20_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_-20_GFTT+BRISK_NORM_L2SQR,971
change_brightness_-20_GFTT+BRISK_FLANN_LSH,971
change_brightness_-20_SIFT_BF_L2,4153
change_brightness_-20_SIFT_NORM_L2SQR,4153
change_brightness_-20_SIFT_FLANN_KDTree,4153
change_brightness_-20_SIFT_FLANN_KMeans,4153
change_brightness_-10_ORB_BF_L2,500
change_brightness_-10_ORB_NORM_HAMMING2,500
change_brightness_-10_ORB_NORM_L2SQR,500
change_brightness_-10_ORB_FLANN_LSH,500
change_brightness_-10_FAST+ORB_BF_L2,10328
change_brightness_-10_FAST+ORB_NORM_HAMMING2,10328
change_brightness_-10_FAST+ORB_NORM_L2SQR,10328
change_brightness_-10_FAST+ORB_FLANN_LSH,10328
change_brightness_-10_FAST+BRISK_BF_L2,11293
change_brightness_-10_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_-10_FAST+BRISK_NORM_L2SQR,11293
change_brightness_-10_FAST+BRISK_FLANN_LSH,11293
change_brightness_-10_KAZE_BF_L2,2879
change_brightness_-10_KAZE_NORM_L2SQR,2879
change_brightness_-10_KAZE_FLANN_KDTree,2879
change_brightness_-10_KAZE_FLANN_KMeans,2879
change_brightness_-10_AKAZE_BF_L2,2235
change_brightness_-10_AKAZE_NORM_HAMMING2,2235
change_brightness_-10_AKAZE_NORM_L2SQR,2235
change_brightness_-10_AKAZE_FLANN_LSH,2235
change_brightness_-10_GFTT+ORB_BF_L2,924
change_brightness_-10_GFTT+ORB_NORM_HAMMING2,924
change_brightness_-10_GFTT+ORB_NORM_L2SQR,924
change_brightness_-10_GFTT+ORB_FLANN_LSH,924
change_brightness_-10_GFTT+BRISK_BF_L2,971
change_brightness_-10_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_-10_GFTT+BRISK_NORM_L2SQR,971
change_brightness_-10_GFTT+BRISK_FLANN_LSH,971
change_brightness_-10_SIFT_BF_L2,4153
change_brightness_-10_SIFT_NORM_L2SQR,4153
change_brightness_-10_SIFT_FLANN_KDTree,4153
change_brightness_-10_SIFT_FLANN_KMeans,4153
change_brightness_0_ORB_BF_L2,500
change_brightness_0_ORB_NORM_HAMMING2,500
change_brightness_0_ORB_NORM_L2SQR,500
change_brightness_0_ORB_FLANN_LSH,500
change_brightness_0_FAST+ORB_BF_L2,10328
change_brightness_0_FAST+ORB_NORM_HAMMING2,10328
change_brightness_0_FAST+ORB_NORM_L2SQR,10328
change_brightness_0_FAST+ORB_FLANN_LSH,10328
change_brightness_0_FAST+BRISK_BF_L2,11293
change_brightness_0_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_0_FAST+BRISK_NORM_L2SQR,11293
change_brightness_0_FAST+BRISK_FLANN_LSH,11293
change_brightness_0_KAZE_BF_L2,2879
change_brightness_0_KAZE_NORM_L2SQR,2879
change_brightness_0_KAZE_FLANN_KDTree,2879
change_brightness_0_KAZE_FLANN_KMeans,2879
change_brightness_0_AKAZE_BF_L2,2235
change_brightness_0_AKAZE_NORM_HAMMING2,2235
change_brightness_0_AKAZE_NORM_L2SQR,2235
change_brightness_0_AKAZE_FLANN_LSH,2235
change_brightness_0_GFTT+ORB_BF_L2,924
change_brightness_0_GFTT+ORB_NORM_HAMMING2,924
change_brightness_0_GFTT+ORB_NORM_L2SQR,924
change_brightness_0_GFTT+ORB_FLANN_LSH,924
change_brightness_0_GFTT+BRISK_BF_L2,971
change_brightness_0_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_0_GFTT+BRISK_NORM_L2SQR,971
change_brightness_0_GFTT+BRISK_FLANN_LSH,971
change_brightness_0_SIFT_BF_L2,4153
change_brightness_0_SIFT_NORM_L2SQR,4153
change_brightness_0_SIFT_FLANN_KDTree,4153
change_brightness_0_SIFT_FLANN_KMeans,4153
change_brightness_10_ORB_BF_L2,500
change_brightness_10_ORB_NORM_HAMMING2,500
change_brightness_10_ORB_NORM_L2SQR,500
change_brightness_10_ORB_FLANN_LSH,500
change_brightness_10_FAST+ORB_BF_L2,10328
change_brightness_10_FAST+ORB_NORM_HAMMING2,10328
change_brightness_10_FAST+ORB_NORM_L2SQR,10328
change_brightness_10_FAST+ORB_FLANN_LSH,10328
change_brightness_10_FAST+BRISK_BF_L2,11293
change_brightness_10_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_10_FAST+BRISK_NORM_L2SQR,11293
change_brightness_10_FAST+BRISK_FLANN_LSH,11293
change_brightness_10_KAZE_BF_L2,2879
change_brightness_10_KAZE_NORM_L2SQR,2879
change_brightness_10_KAZE_FLANN_KDTree,2879
change_brightness_10_KAZE_FLANN_KMeans,2879
change_brightness_10_AKAZE_BF_L2,2235
change_brightness_10_AKAZE_NORM_HAMMING2,2235
change_brightness_10_AKAZE_NORM_L2SQR,2235
change_brightness_10_AKAZE_FLANN_LSH,2235
change_brightness_10_GFTT+ORB_BF_L2,924
change_brightness_10_GFTT+ORB_NORM_HAMMING2,924
change_brightness_10_GFTT+ORB_NORM_L2SQR,924
change_brightness_10_GFTT+ORB_FLANN_LSH,924
change_brightness_10_GFTT+BRISK_BF_L2,971
change_brightness_10_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_10_GFTT+BRISK_NORM_L2SQR,971
change_brightness_10_GFTT+BRISK_FLANN_LSH,971
change_brightness_10_SIFT_BF_L2,4153
change_brightness_10_SIFT_NORM_L2SQR,4153
change_brightness_10_SIFT_FLANN_KDTree,4153
change_brightness_10_SIFT_FLANN_KMeans,4153
change_brightness_20_ORB_BF_L2,500
change_brightness_20_ORB_NORM_HAMMING2,500
change_brightness_20_ORB_NORM_L2SQR,500
change_brightness_20_ORB_FLANN_LSH,500
change_brightness_20_FAST+ORB_BF_L2,10328
change_brightness_20_FAST+ORB_NORM_HAMMING2,10328
change_brightness_20_FAST+ORB_NORM_L2SQR,10328
change_brightness_20_FAST+ORB_FLANN_LSH,10328
change_brightness_20_FAST+BRISK_BF_L2,11293
change_brightness_20_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_20_FAST+BRISK_NORM_L2SQR,11293
change_brightness_20_FAST+BRISK_FLANN_LSH,11293
change_brightness_20_KAZE_BF_L2,2879
change_brightness_20_KAZE_NORM_L2SQR,2879
change_brightness_20_KAZE_FLANN_KDTree,2879
change_brightness_20_KAZE_FLANN_KMeans,2879
change_brightness_20_AKAZE_BF_L2,2235
change_brightness_20_AKAZE_NORM_HAMMING2,2235
change_brightness_20_AKAZE_NORM_L2SQR,2235
change_brightness_20_AKAZE_FLANN_LSH,2235
change_brightness_20_GFTT+ORB_BF_L2,924
change_brightness_20_GFTT+ORB_NORM_HAMMING2,924
change_brightness_20_GFTT+ORB_NORM_L2SQR,924
change_brightness_20_GFTT+ORB_FLANN_LSH,924
change_brightness_20_GFTT+BRISK_BF_L2,971
change_brightness_20_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_20_GFTT+BRISK_NORM_L2SQR,971
change_brightness_20_GFTT+BRISK_FLANN_LSH,971
change_brightness_20_SIFT_BF_L2,4153
change_brightness_20_SIFT_NORM_L2SQR,4153
change_brightness_20_SIFT_FLANN_KDTree,4153
change_brightness_20_SIFT_FLANN_KMeans,4153
change_brightness_30_ORB_BF_L2,500
change_brightness_30_ORB_NORM_HAMMING2,500
change_brightness_30_ORB_NORM_L2SQR,500
change_brightness_30_ORB_FLANN_LSH,500
change_brightness_30_FAST+ORB_BF_L2,10328
change_brightness_30_FAST+ORB_NORM_HAMMING2,10328
change_brightness_30_FAST+ORB_NORM_L2SQR,10328
change_brightness_30_FAST+ORB_FLANN_LSH,10328
change_brightness_30_FAST+BRISK_BF_L2,11293
change_brightness_30_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_30_FAST+BRISK_NORM_L2SQR,11293
change_brightness_30_FAST+BRISK_FLANN_LSH,11293
change_brightness_30_KAZE_BF_L2,2879
change_brightness_30_KAZE_NORM_L2SQR,2879
change_brightness_30_KAZE_FLANN_KDTree,2879
change_brightness_30_KAZE_FLANN_KMeans,2879
change_brightness_30_AKAZE_BF_L2,2235
change_brightness_30_AKAZE_NORM_HAMMING2,2235
change_brightness_30_AKAZE_NORM_L2SQR,2235
change_brightness_30_AKAZE_FLANN_LSH,2235
change_brightness_30_GFTT+ORB_BF_L2,924
change_brightness_30_GFTT+ORB_NORM_HAMMING2,924
change_brightness_30_GFTT+ORB_NORM_L2SQR,924
change_brightness_30_GFTT+ORB_FLANN_LSH,924
change_brightness_30_GFTT+BRISK_BF_L2,971
change_brightness_30_GFTT+BRISK_NORM_HAMMING2,971
change_brightness_30_GFTT+BRISK_NORM_L2SQR,971
change_brightness_30_GFTT+BRISK_FLANN_LSH,971
change_brightness_30_SIFT_BF_L2,4153
change_brightness_30_SIFT_NORM_L2SQR,4153
change_brightness_30_SIFT_FLANN_KDTree,4153
change_brightness_30_SIFT_FLANN_KMeans,4153
change_brightness_40_ORB_BF_L2,500
change_brightness_40_ORB_NORM_HAMMING2,500
change_brightness_40_ORB_NORM_L2SQR,500
change_brightness_40_ORB_FLANN_LSH,500
change_brightness_40_FAST+ORB_BF_L2,10328
change_brightness_40_FAST+ORB_NORM_HAMMING2,10328
change_brightness_40_FAST+ORB_NORM_L2SQR,10328
change_brightness_40_FAST+ORB_FLANN_LSH,10328
change_brightness_40_FAST+BRISK_BF_L2,11293
change_brightness_40_FAST+BRISK_NORM_HAMMING2,11293
change_brightness_40_FAST+BRISK_NORM_L2SQR,11293
change_brightness_40_FAST+BRISK_FLANN_LSH,11293
