Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');500.0;0.018;1.0;0.102;715.375;0.895
('ORB', 'NORM_HAMMING2');500.0;0.008;1.0;0.109;726.502;0.846
('ORB', 'NORM_L2SQR');500.0;0.132;1.0;0.08;715.375;0.895
('ORB', 'FLANN_LSH');500.0;0.058;1.0;0.109;715.247;0.841
('FAST+ORB', 'BF_L2');11216.0;0.03;0.323;0.078;875.881;0.933
('FAST+ORB', 'NORM_HAMMING2');11216.0;0.008;0.323;0.088;901.389;0.878
('FAST+ORB', 'NORM_L2SQR');11216.0;0.14;0.323;0.048;875.881;0.933
('FAST+ORB', 'FLANN_LSH');11216.0;0.012;0.323;0.062;898.176;0.879
('FAST+BRISK', 'BF_L2');11913.0;0.004;0.323;0.36;887.04;0.894
('FAST+BRISK', 'NORM_HAMMING2');11913.0;0.003;0.323;0.413;912.621;0.859
('FAST+BRISK', 'NORM_L2SQR');11913.0;0.052;0.323;0.349;887.04;0.894
('FAST+BRISK', 'FLANN_LSH');11913.0;0.007;0.323;0.404;903.247;0.864
('KAZE', 'BF_L2');2080.0;0.012;0.187;2.332;724.667;0.903
('KAZE', 'NORM_L2SQR');2080.0;0.056;0.187;2.95;724.667;0.903
('KAZE', 'FLANN_KDTree');2080.0;0.023;0.187;2.308;714.496;0.892
('KAZE', 'FLANN_KMeans');2080.0;0.012;0.187;2.499;724.667;0.903
('AKAZE', 'BF_L2');1728.0;0.006;0.177;1.487;698.562;0.872
('AKAZE', 'NORM_HAMMING2');1728.0;0.009;0.177;1.445;719.498;0.832
('AKAZE', 'NORM_L2SQR');1728.0;0.082;0.177;1.332;698.562;0.872
('AKAZE', 'FLANN_LSH');1728.0;0.022;0.177;0.516;716.74;0.835
('GFTT+ORB', 'BF_L2');995.0;0.02;1.0;0.143;956.758;0.896
('GFTT+ORB', 'NORM_HAMMING2');995.0;0.006;1.0;0.105;948.06;0.848
('GFTT+ORB', 'NORM_L2SQR');995.0;0.143;1.0;0.214;956.758;0.896
('GFTT+ORB', 'FLANN_LSH');995.0;0.035;1.0;0.076;940.377;0.839
('GFTT+BRISK', 'BF_L2');1000.0;0.002;1.0;0.079;922.751;0.844
('GFTT+BRISK', 'NORM_HAMMING2');1000.0;0.004;1.0;0.096;921.257;0.809
('GFTT+BRISK', 'NORM_L2SQR');1000.0;0.04;1.0;0.143;922.751;0.844
('GFTT+BRISK', 'FLANN_LSH');1000.0;0.017;1.0;0.131;915.386;0.806
('SIFT', 'BF_L2');1826.0;0.05;0.171;0.673;774.232;0.863
('SIFT', 'NORM_L2SQR');1826.0;0.177;0.171;0.631;774.232;0.863
('SIFT', 'FLANN_KDTree');1826.0;0.07;0.171;1.2;784.893;0.852
('SIFT', 'FLANN_KMeans');1826.0;0.05;0.171;0.741;774.232;0.863
